汇总类型,维度/指标,权重,Opus4.8得分(1-5),GLM-2得分(1-5),Opus加权分,GLM加权分,说明
七维评分,需求理解准确度,20%,,,,=C2*C1/100,=D2*C1/100,是否正确理解业务约束
七维评分,代码质量,20%,,,,=C3*C1/100,=D3*C1/100,分层合规、命名一致
七维评分,首次可用率,15%,,,,=C4*C1/100,=D4*C1/100,build0警告+启动无异常
七维评分,调试与排错能力,15%,,,,=C5*C1/100,=D5*C1/100,定位根因而非绕过
七维评分,跨文件一致性,10%,,,,=C6*C1/100,=D6*C1/100,Core/Data/UI/Comm同步
七维评分,文档与方案输出,10%,,,,=C7*C1/100,=D7*C1/100,可执行、与权威文档一致
七维评分,交互效率,10%,,,,=C8*C1/100,=D8*C1/100,轮次少、返工少
七维评分,加权综合,,,,=SUM(E2:E8),=SUM(F2:F8),满分5
,,,,,,,
分难度均分,L2简单(用例E/F/H),,,,,,填完用例明细后手算或AVERAGEIF
分难度均分,L3复杂(用例B/C/G),,,,,,
分难度均分,L4高难(用例A/D),,,,,,
,,,,,,,
效率指标,参与开发阶段数,,,,,,
效率指标,总交互轮次,,,,,,
效率指标,平均每用例轮次,,,,,,
效率指标,返工次数(验收不通过后重开),,,,,,
效率指标,首次可运行率(%),,,,,,不经修改即build通过的比例
效率指标,人工修正工作量(低/中/高),,,,,,
,,,,,,,
成本效益,Token/订阅费用(元),,,,,,测评期
成本效益,工程师时间(人日),,,,,,
成本效益,等效交付功能点(个),,,,,,
成本效益,单功能点综合成本(元),,,,,,
,,,,,,,
场景推荐,架构设计/多模块分层,,推荐模型:,,,,
场景推荐,工业协议(Modbus/FINS),,推荐模型:,,,,
场景推荐,WPF UI+MVVM页面,,推荐模型:,,,,
场景推荐,CRUD+数据库仓储,,推荐模型:,,,,
场景推荐,Bug定位与修复,,推荐模型:,,,,
场景推荐,文档整理与方案撰写,,推荐模型:,,,,
