用例编号,用例名称,难度,Phase/专项,任务简述,验收标准摘要,模型,使用日期,交互轮次,首次build(通过/失败),build失败次数,评分项1名称,评分项1得分(1-5),评分项2名称,评分项2得分(1-5),评分项3名称,评分项3得分(1-5),评分项4名称,评分项4得分(1-5),本用例小计(1-5),需人工修正点,是否找到根因(是/否/不适用),备注
A,Phase1基础架构搭建,L4,Phase1,6工程分层+EF17表+Modbus模拟器+轮询中枢+WPF主壳,build0警告+3PLC建链+轮询30点位+DB读种子,Opus 4.8,,,,,分层是否合理,,领域约束遵守,,,,,,,
A,Phase1基础架构搭建,L4,Phase1,6工程分层+EF17表+Modbus模拟器+轮询中枢+WPF主壳,build0警告+3PLC建链+轮询30点位+DB读种子,GLM-2,,,,,分层是否合理,,领域约束遵守,,,,,,,
B,Phase2 PLC管理全功能,L3,Phase2,PLC列表/读写/点位映射/告警/CRUD+引用校验+软删,3PLC在线+读写D寄存器+写流水+点位导入,Opus 4.8,,,,,业务规则完整度,,UI与原型一致,,跨层改动同步,,,,,
B,Phase2 PLC管理全功能,L3,Phase2,PLC列表/读写/点位映射/告警/CRUD+引用校验+软删,3PLC在线+读写D寄存器+写流水+点位导入,GLM-2,,,,,业务规则完整度,,UI与原型一致,,跨层改动同步,,,,,
C,Phase3配置管理四页CRUD,L3,Phase3,线体/工序/机台/料架四页+级联+引用校验+软删过滤,四页UI一致+增删改全路径+引用Growl,Opus 4.8,,,,,原型还原度,,CRUD与引用校验,,Bug引入(有/无),,,,,
C,Phase3配置管理四页CRUD,L3,Phase3,线体/工序/机台/料架四页+级联+引用校验+软删过滤,四页UI一致+增删改全路径+引用Growl,GLM-2,,,,,原型还原度,,CRUD与引用校验,,Bug引入(有/无),,,,,
D,欧姆龙FINS/UDP协议接入,L4,专项-FINS,IPlcClient新增FINS客户端+工厂分流+模拟器+启动修复,双协议共存+窗口秒开+离线不假在线,Opus 4.8,,,,,协议实现正确性,,架构侵入性,,边界情况处理,,文档同步,,,
D,欧姆龙FINS/UDP协议接入,L4,专项-FINS,IPlcClient新增FINS客户端+工厂分流+模拟器+启动修复,双协议共存+窗口秒开+离线不假在线,GLM-2,,,,,协议实现正确性,,架构侵入性,,边界情况处理,,文档同步,,,
E,Phase5外设测试页+UI还原,L2,Phase5,AGV连通测试+扫码枪TCP监听+原型左对齐,表单+测试按钮+终端+扫码表,Opus 4.8,,,,,功能完整度,,UI细节,,,,,,,
E,Phase5外设测试页+UI还原,L2,Phase5,AGV连通测试+扫码枪TCP监听+原型左对齐,表单+测试按钮+终端+扫码表,GLM-2,,,,,功能完整度,,UI细节,,,,,,,
F,Bug修复XAML样式栈溢出,L2,修复,PasswordBox误用TextBox样式致导航栈溢出,定位根因+最小diff修复,Opus 4.8,,,,,定位根因轮次,,修复最小diff,,,,,,,
F,Bug修复XAML样式栈溢出,L2,修复,PasswordBox误用TextBox样式致导航栈溢出,定位根因+最小diff修复,GLM-2,,,,,定位根因轮次,,修复最小diff,,,,,,,
G,UI现代工业风重设计,L3,专项-UI,WPF-UI+HandyControl+设计文档+prototype+深色HMI,文档可执行+原型可验收+无资源异常,Opus 4.8,,,,,设计方案质量,,文档代码一致性,,工业场景匹配度,,,,,
G,UI现代工业风重设计,L3,专项-UI,WPF-UI+HandyControl+设计文档+prototype+深色HMI,文档可执行+原型可验收+无资源异常,GLM-2,,,,,设计方案质量,,文档代码一致性,,工业场景匹配度,,,,,
H,文档整合与方案撰写,L2,专项-文档,合并权威开发文档+校正版本+维护三件套,无多源冲突+结论先行+待确认标注,Opus 4.8,,,,,信息准确性,,结构清晰度,,待确认项完整,,,,,
H,文档整合与方案撰写,L2,专项-文档,合并权威开发文档+校正版本+维护三件套,无多源冲突+结论先行+待确认标注,GLM-2,,,,,信息准确性,,结构清晰度,,待确认项完整,,,,,
I,自定义用例,,,,(填写),Opus 4.8,,,,,,,,,,,,,,
I,自定义用例,,,,(填写),GLM-2,,,,,,,,,,,,,,
